bigram,count
working with,1112
has been,1081
highly recommend,967
he is,955
have been,945
we have,782
he has,737
in the,682
of the,658
financial advisor,649
our financial,633
my financial,630
financial planning,588
and his,568
we are,542
work with,538
time to,536
to work,500
with the,499
and have,485
the time,479
and the,461
to help,449
of our,448
of my,432
for the,426
to be,419
the best,417
my wife,397
they are,392
looking for,375
to our,357
his team,355
to anyone,355
goals and,355
is very,347
with him,328
to have,326
easy to,324
been working,322
